alp	id	name
	-1	Northern Cyprus
	-2	Kosovo
	-3	Somaliland
AFG	4	Afghanistan
ALB	8	Albania
ATA	10	Antarctica
DZA	12	Algeria
ASM	16	American Samoa
AND	20	Andorra
AGO	24	Angola
ATG	28	Antigua and Barbuda
AZE	31	Azerbaijan
ARG	32	Argentina
AUS	36	Australia
AUT	40	Austria
BHS	44	Bahamas
BHR	48	Bahrain
BGD	50	Bangladesh
ARM	51	Armenia
BRB	52	Barbados
BEL	56	Belgium
BMU	60	Bermuda
BTN	64	Bhutan
BOL	68	Bolivia, Plurinational State of
BIH	70	Bosnia and Herzegovina
BWA	72	Botswana
BVT	74	Bouvet Island
BRA	76	Brazil
BLZ	84	Belize
IOT	86	British Indian Ocean Territory
SLB	90	Solomon Islands
VGB	92	Virgin Islands, British
BRN	96	Brunei Darussalam
BGR	100	Bulgaria
MMR	104	Myanmar
BDI	108	Burundi
BLR	112	Belarus
KHM	116	Cambodia
CMR	120	Cameroon
CAN	124	Canada
CPV	132	Cape Verde
CYM	136	Cayman Islands
CAF	140	Central African Republic
LKA	144	Sri Lanka
TCD	148	Chad
CHL	152	Chile
CHN	156	China
TWN	158	Taiwan, Province of China
CXR	162	Christmas Island
CCK	166	Cocos (Keeling) Islands
COL	170	Colombia
COM	174	Comoros
MYT	175	Mayotte
COG	178	Congo
COD	180	Congo, the Democratic Republic of the
COK	184	Cook Islands
CRI	188	Costa Rica
HRV	191	Croatia
CUB	192	Cuba
CYP	196	Cyprus
CZE	203	Czech Republic
BEN	204	Benin
DNK	208	Denmark
DMA	212	Dominica
DOM	214	Dominican Republic
ECU	218	Ecuador
SLV	222	El Salvador
GNQ	226	Equatorial Guinea
ETH	231	Ethiopia
ERI	232	Eritrea
EST	233	Estonia
FRO	234	Faroe Islands
FLK	238	Falkland Islands (Malvinas)
SGS	239	South Georgia and the South Sandwich Islands
FJI	242	Fiji
FIN	246	Finland
ALA	248	Åland Islands
FRA	250	France
GUF	254	French Guiana
PYF	258	French Polynesia
ATF	260	French Southern Territories
DJI	262	Djibouti
GAB	266	Gabon
GEO	268	Georgia
GMB	270	Gambia
	275	Palestinian Territory, Occupied
DEU	276	Germany
GHA	288	Ghana
GIB	292	Gibraltar
KIR	296	Kiribati
GRC	300	Greece
GRL	304	Greenland
GRD	308	Grenada
GLP	312	Guadeloupe
GUM	316	Guam
GTM	320	Guatemala
GIN	324	Guinea
GUY	328	Guyana
HTI	332	Haiti
HMD	334	Heard Island and McDonald Islands
VAT	336	Holy See (Vatican City State)
HND	340	Honduras
HKG	344	Hong Kong
HUN	348	Hungary
ISL	352	Iceland
IND	356	India
IDN	360	Indonesia
IRN	364	Iran, Islamic Republic of
IRQ	368	Iraq
IRL	372	Ireland
ISR	376	Israel
ITA	380	Italy
CIV	384	Côte d'Ivoire
JAM	388	Jamaica
JPN	392	Japan
KAZ	398	Kazakhstan
JOR	400	Jordan
KEN	404	Kenya
PRK	408	Korea, Democratic People's Republic of
KOR	410	Korea, Republic of
KWT	414	Kuwait
KGZ	417	Kyrgyzstan
LAO	418	Lao People's Democratic Republic
LBN	422	Lebanon
LSO	426	Lesotho
LVA	428	Latvia
LBR	430	Liberia
LBY	434	Libya
LIE	438	Liechtenstein
LTU	440	Lithuania
LUX	442	Luxembourg
MAC	446	Macao
MDG	450	Madagascar
MWI	454	Malawi
MYS	458	Malaysia
MDV	462	Maldives
MLI	466	Mali
MLT	470	Malta
MTQ	474	Martinique
MRT	478	Mauritania
MUS	480	Mauritius
MEX	484	Mexico
MCO	492	Monaco
MNG	496	Mongolia
MDA	498	Moldova, Republic of
MNE	499	Montenegro
MSR	500	Montserrat
MAR	504	Morocco
MOZ	508	Mozambique
OMN	512	Oman
NAM	516	Namibia
NRU	520	Nauru
NPL	524	Nepal
NLD	528	Netherlands
CUW	531	Curaçao
ABW	533	Aruba
SXM	534	Sint Maarten (Dutch part)
BES	535	Bonaire, Sint Eustatius and Saba
NCL	540	New Caledonia
VUT	548	Vanuatu
NZL	554	New Zealand
NIC	558	Nicaragua
NER	562	Niger
NGA	566	Nigeria
NIU	570	Niue
NFK	574	Norfolk Island
NOR	578	Norway
MNP	580	Northern Mariana Islands
UMI	581	United States Minor Outlying Islands
FSM	583	Micronesia, Federated States of
MHL	584	Marshall Islands
PLW	585	Palau
PAK	586	Pakistan
PAN	591	Panama
PNG	598	Papua New Guinea
PRY	600	Paraguay
